#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      3.50e+00    5.56e+00      1.19e-01    3.63e-01      1.11e-01    1.76e-01    5.0e-04
   6000      3.86e+00    6.04e+00      5.10e-02    1.29e-01      1.22e-01    1.92e-01    5.0e-04
   6100      1.18e+01    5.01e+00      8.04e-01    1.75e-01      3.72e-01    1.59e-01    5.0e-04
   6200      4.87e+00    7.21e+00      1.43e-01    3.31e-01      1.54e-01    2.28e-01    5.0e-04
   6300      9.93e+00    1.12e+01      9.16e-02    2.32e-01      3.15e-01    3.54e-01    5.0e-04
   6400      6.68e+00    1.22e+01      4.92e-02    2.42e-01      2.12e-01    3.85e-01    5.0e-04
   6500      6.13e+00    4.51e+00      1.09e-01    1.84e-01      1.94e-01    1.43e-01    5.0e-04
   6600      3.91e+00    3.81e+00      2.22e-02    1.94e-01      1.24e-01    1.20e-01    5.0e-04
   6700      4.55e+00    8.18e+00      7.34e-02    1.76e-01      1.44e-01    2.59e-01    5.0e-04
   6800      1.57e+00    8.44e+00      1.64e-01    7.47e-01      4.91e-02    2.66e-01    5.0e-04
   6900      1.31e+01    8.32e+00      3.22e-01    3.69e-01      4.16e-01    2.64e-01    5.0e-04
   7000      5.19e+00    6.95e+00      4.88e-02    1.35e-01      1.64e-01    2.20e-01    5.0e-04
   7100      4.73e+00    8.68e+00      1.46e-01    1.38e-01      1.50e-01    2.75e-01    5.0e-04
   7200      5.47e+00    1.21e+01      3.73e-01    3.16e-01      1.73e-01    3.83e-01    5.0e-04
   7300      1.08e+01    1.05e+01      5.94e-01    1.90e-01      3.42e-01    3.33e-01    5.0e-04
   7400      7.03e+00    7.60e+00      3.21e-01    1.73e-01      2.23e-01    2.41e-01    5.0e-04
   7500      3.49e+00    4.65e+00      1.28e-01    5.68e-02      1.11e-01    1.48e-01    5.0e-04
   7600      3.73e+00    1.13e+01      1.29e-01    1.72e-01      1.18e-01    3.60e-01    5.0e-04
   7700      5.13e+00    5.24e+00      3.11e-01    6.11e-01      1.62e-01    1.65e-01    5.0e-04
   7800      8.05e+00    1.02e+01      3.41e-01    2.81e-01      2.55e-01    3.25e-01    5.0e-04
   7900      6.87e+00    5.39e+00      2.40e-01    1.83e-01      2.17e-01    1.71e-01    5.0e-04
   8000      3.88e+00    7.83e+00      2.54e-01    5.26e-01      1.22e-01    2.48e-01    5.0e-04
   8100      4.14e+00    3.21e+00      3.59e-01    9.45e-02      1.31e-01    1.02e-01    5.0e-04
   8200      8.46e+00    3.93e+00      2.27e-01    2.95e-01      2.68e-01    1.23e-01    5.0e-04
   8300      4.52e+00    6.40e+00      7.89e-02    4.14e-01      1.43e-01    2.02e-01    5.0e-04
