#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
1736600      1.40e+00    1.61e+00      9.51e-03    6.18e-02      1.01e-01    1.13e-01    9.5e-05
1736700      1.20e+00    1.05e+00      3.38e-03    1.55e-02      8.70e-02    7.49e-02    9.5e-05
1736800      2.24e+00    1.47e+00      8.20e-03    1.87e-02      1.62e-01    1.06e-01    9.5e-05
1736900      3.02e+00    1.29e+00      9.79e-03    3.20e-02      2.19e-01    9.21e-02    9.5e-05
1737000      3.77e-01    1.36e+00      4.61e-02    7.83e-03      2.45e-02    9.80e-02    9.5e-05
1737100      2.19e+00    1.42e+00      2.56e-02    5.51e-03      1.58e-01    1.03e-01    9.5e-05
1737200      1.63e+00    1.71e+00      2.65e-02    1.10e-02      1.17e-01    1.24e-01    9.5e-05
1737300      8.75e-01    1.12e+00      1.20e-02    8.45e-03      6.32e-02    8.10e-02    9.5e-05
1737400      1.08e+00    2.21e+00      3.79e-02    3.57e-02      7.16e-02    1.59e-01    9.5e-05
1737500      1.68e+00    1.46e+00      4.42e-02    9.99e-03      1.17e-01    1.06e-01    9.5e-05
1737600      1.23e+00    1.37e+00      7.20e-03    3.97e-02      8.87e-02    9.75e-02    9.5e-05
1737700      1.08e+00    1.00e+00      3.68e-02    1.19e-02      7.53e-02    7.21e-02    9.5e-05
1737800      1.34e+00    1.57e+00      1.20e-02    2.59e-02      9.70e-02    1.13e-01    9.5e-05
1737900      1.62e+00    1.02e+00      3.56e-02    1.84e-02      1.16e-01    7.26e-02    9.5e-05
1738000      1.27e+00    1.27e+00      3.03e-02    7.86e-03      8.96e-02    9.15e-02    9.5e-05
1738100      1.70e+00    1.55e+00      1.05e-01    3.96e-02      1.18e-01    1.11e-01    9.5e-05
1738200      2.96e+00    1.16e+00      2.75e-03    1.44e-02      2.14e-01    8.37e-02    9.5e-05
1738300      1.37e+00    1.55e+00      1.50e-02    1.89e-02      9.89e-02    1.12e-01    9.5e-05
1738400      1.69e+00    1.47e+00      1.37e-02    9.74e-03      1.22e-01    1.06e-01    9.5e-05
1738500      8.74e-01    1.52e+00      1.84e-03    1.06e-02      6.32e-02    1.10e-01    9.5e-05
1738600      2.31e+00    1.29e+00      6.88e-02    2.65e-02      1.61e-01    9.05e-02    9.5e-05
1738700      1.10e+00    1.82e+00      2.23e-02    2.44e-02      7.88e-02    1.31e-01    9.5e-05
1738800      1.06e+00    1.79e+00      1.94e-02    8.48e-02      7.54e-02    1.26e-01    9.5e-05
1738900      1.31e+00    1.42e+00      8.27e-02    2.48e-02      9.25e-02    1.02e-01    9.5e-05
1739000      2.90e+00    1.22e+00      4.69e-03    9.12e-02      2.10e-01    8.47e-02    9.5e-05
1739100      7.23e-01    1.02e+00      8.07e-03    2.81e-02      5.21e-02    6.90e-02    9.5e-05
1739200      1.20e+00    2.23e+00      3.76e-03    1.10e-02      8.70e-02    1.61e-01    9.5e-05
1739300      7.86e-01    1.49e+00      1.31e-02    1.50e-02      5.62e-02    1.07e-01    9.5e-05
1739400      1.24e+00    1.57e+00      1.17e-02    3.58e-02      8.96e-02    1.12e-01    9.5e-05
1739500      1.92e+00    1.58e+00      4.04e-04    2.59e-02      1.39e-01    1.14e-01    9.5e-05
1739600      2.16e+00    1.66e+00      3.97e-02    9.98e-03      1.55e-01    1.20e-01    9.5e-05
1739700      1.45e+00    1.22e+00      6.75e-04    1.07e-02      1.05e-01    8.79e-02    9.5e-05
1739800      2.15e+00    1.76e+00      1.74e-01    3.97e-02      1.38e-01    1.27e-01    9.5e-05
1739900      1.11e+00    1.52e+00      7.19e-03    1.52e-02      8.01e-02    1.10e-01    9.5e-05
1740000      5.53e-01    1.20e+00      2.95e-02    3.21e-02      3.88e-02    8.48e-02    9.5e-05
1740100      2.63e+00    2.07e+00      4.57e-02    5.10e-02      1.90e-01    1.48e-01    9.5e-05
1740200      1.06e+00    1.78e+00      2.44e-02    4.48e-02      7.58e-02    1.28e-01    9.5e-05
1740300      1.21e+00    1.97e+00      1.01e-02    1.15e-02      8.71e-02    1.43e-01    9.5e-05
1740400      1.26e+00    1.61e+00      6.85e-03    3.08e-02      9.09e-02    1.16e-01    9.5e-05
1740500      1.24e+00    1.07e+00      6.97e-03    3.07e-02      9.01e-02    7.50e-02    9.5e-05
1740600      1.02e+00    2.33e+00      2.74e-02    5.25e-02      7.05e-02    1.66e-01    9.5e-05
1740700      9.75e-01    1.53e+00      4.59e-02    1.64e-02      6.65e-02    1.10e-01    9.5e-05
1740800      1.39e+00    1.47e+00      4.63e-02    1.31e-02      9.92e-02    1.06e-01    9.5e-05
1740900      1.33e+00    1.50e+00      1.79e-03    2.39e-02      9.62e-02    1.08e-01    9.5e-05
1741000      1.26e+00    2.30e+00      7.75e-02    8.89e-02      8.20e-02    1.61e-01    9.5e-05
1741100      1.76e+00    9.53e-01      2.11e-02    1.81e-02      1.27e-01    6.82e-02    9.5e-05
1741200      2.42e+00    1.89e+00      2.22e-02    7.74e-02      1.76e-01    1.31e-01    9.5e-05
1741300      2.97e+00    1.07e+00      3.82e-02    1.36e-02      2.15e-01    7.75e-02    9.5e-05
1741400      1.27e+00    1.98e+00      1.14e-02    4.35e-02      9.18e-02    1.41e-01    9.5e-05
1741500      1.49e+00    1.84e+00      3.59e-02    4.57e-02      1.07e-01    1.33e-01    9.5e-05
1741600      1.18e+00    1.52e+00      2.98e-04    5.36e-03      8.58e-02    1.11e-01    9.5e-05
1741700      1.69e+00    1.24e+00      5.47e-02    1.39e-02      1.21e-01    8.96e-02    9.5e-05
1741800      1.13e+00    1.68e+00      2.05e-02    3.53e-02      8.11e-02    1.20e-01    9.5e-05
1741900      9.42e-01    1.04e+00      1.07e-01    1.19e-02      4.49e-02    7.50e-02    9.5e-05
1742000      1.25e+00    1.26e+00      2.76e-02    1.89e-02      8.88e-02    9.11e-02    9.5e-05
1742100      2.17e+00    1.18e+00      5.03e-02    4.09e-02      1.56e-01    8.43e-02    9.5e-05
1742200      1.21e+00    1.56e+00      2.34e-02    1.12e-02      8.68e-02    1.13e-01    9.5e-05
1742300      1.11e+00    1.91e+00      4.50e-03    8.89e-02      8.01e-02    1.32e-01    9.5e-05
1742400      2.17e+00    1.26e+00      6.35e-02    3.84e-02      1.55e-01    9.01e-02    9.5e-05
1742500      1.22e+00    1.80e+00      3.35e-02    1.79e-02      8.57e-02    1.30e-01    9.5e-05
1742600      1.05e+00    1.42e+00      7.86e-02    9.94e-03      7.24e-02    1.03e-01    9.5e-05
1742700      9.68e-01    1.18e+00      2.13e-02    3.03e-02      6.90e-02    8.13e-02    9.5e-05
1742800      1.29e+00    1.29e+00      3.06e-02    2.79e-02      9.25e-02    9.29e-02    9.5e-05
1742900      2.12e+00    1.07e+00      3.66e-03    2.35e-02      1.54e-01    7.71e-02    9.5e-05
1743000      7.55e-01    1.38e+00      1.71e-02    1.65e-02      5.35e-02    9.95e-02    9.5e-05
1743100      1.24e+00    1.53e+00      1.18e-03    1.95e-02      9.01e-02    1.10e-01    9.5e-05
1743200      2.17e+00    1.91e+00      1.32e-03    6.22e-02      1.57e-01    1.36e-01    9.5e-05
1743300      1.52e+00    2.00e+00      5.64e-03    8.57e-02      1.10e-01    1.24e-01    9.5e-05
1743400      1.86e+00    1.30e+00      5.49e-02    7.82e-02      1.32e-01    9.24e-02    9.5e-05
1743500      9.09e-01    1.65e+00      3.17e-02    4.73e-02      5.94e-02    1.18e-01    9.5e-05
1743600      1.16e+00    1.25e+00      4.74e-02    1.23e-02      8.14e-02    9.03e-02    9.5e-05
1743700      9.37e-01    1.39e+00      1.62e-01    9.15e-03      4.88e-02    1.01e-01    9.5e-05
1743800      1.26e+00    1.55e+00      1.07e-02    1.97e-02      9.16e-02    1.12e-01    9.5e-05
1743900      1.05e+00    1.36e+00      3.10e-02    1.28e-02      7.34e-02    9.81e-02    9.5e-05
1744000      8.94e-01    2.06e+00      6.24e-02    3.73e-02      5.87e-02    1.48e-01    9.5e-05
1744100      8.40e-01    1.51e+00      1.44e-02    4.89e-02      6.07e-02    1.08e-01    9.5e-05
1744200      1.30e+00    1.38e+00      4.16e-02    4.13e-02      9.29e-02    9.82e-02    9.5e-05
1744300      1.84e+00    1.65e+00      6.46e-04    1.60e-02      1.33e-01    1.19e-01    9.5e-05
1744400      1.93e+00    1.43e+00      7.60e-03    1.10e-01      1.40e-01    9.43e-02    9.5e-05
1744500      7.77e-01    1.41e+00      1.44e-02    5.62e-03      5.59e-02    1.02e-01    9.5e-05
1744600      9.86e-01    1.63e+00      8.35e-02    8.89e-02      6.44e-02    1.11e-01    9.5e-05
1744700      9.40e-01    1.04e+00      1.35e-02    4.53e-02      6.75e-02    7.38e-02    9.5e-05
1744800      8.18e-01    2.00e+00      2.27e-03    1.15e-01      5.93e-02    1.37e-01    9.5e-05
1744900      9.46e-01    2.41e+00      1.57e-02    3.50e-02      6.79e-02    1.73e-01    9.5e-05
1745000      2.04e+00    1.18e+00      2.14e-02    2.13e-02      1.48e-01    8.46e-02    9.4e-05
1745100      1.20e+00    9.22e-01      6.54e-02    4.69e-02      7.44e-02    6.44e-02    9.4e-05
1745200      1.09e+00    9.44e-01      9.01e-03    2.56e-02      7.88e-02    6.72e-02    9.4e-05
1745300      9.88e-01    9.91e-01      1.26e-02    3.30e-02      7.13e-02    6.55e-02    9.4e-05
1745400      1.52e+00    1.24e+00      1.03e-02    2.15e-02      1.10e-01    8.88e-02    9.4e-05
1745500      4.38e-01    2.78e+00      4.56e-02    7.87e-02      2.56e-02    1.98e-01    9.4e-05
1745600      1.10e+00    1.18e+00      2.14e-02    2.33e-02      7.85e-02    8.43e-02    9.4e-05
1745700      1.97e+00    1.37e+00      1.29e-02    3.01e-02      1.43e-01    9.85e-02    9.4e-05
1745800      4.76e-01    1.48e+00      7.49e-03    3.68e-02      3.42e-02    1.07e-01    9.4e-05
1745900      1.03e+00    1.71e+00      3.47e-02    2.82e-02      7.32e-02    1.22e-01    9.4e-05
1746000      2.09e+00    2.19e+00      6.86e-03    4.30e-02      1.52e-01    1.58e-01    9.4e-05
1746100      2.58e+00    1.18e+00      9.50e-03    2.57e-02      1.88e-01    8.57e-02    9.4e-05
1746200      6.91e-01    1.41e+00      1.02e-03    2.14e-02      5.02e-02    1.02e-01    9.4e-05
1746300      9.84e-01    1.27e+00      6.35e-03    2.53e-02      7.14e-02    9.05e-02    9.4e-05
1746400      1.82e+00    1.36e+00      9.01e-04    2.01e-02      1.32e-01    9.76e-02    9.4e-05
1746500      1.98e+00    1.59e+00      2.03e-02    3.42e-02      1.44e-01    1.15e-01    9.4e-05
1746600      1.37e+00    1.62e+00      5.22e-03    2.63e-02      9.93e-02    1.17e-01    9.4e-05
1746700      7.23e-01    1.10e+00      2.98e-02    1.32e-02      4.64e-02    7.95e-02    9.4e-05
1746800      9.48e-01    1.95e+00      2.69e-02    8.10e-03      6.67e-02    1.41e-01    9.4e-05
1746900      1.23e+00    1.38e+00      2.66e-02    4.33e-02      8.86e-02    9.83e-02    9.4e-05
1747000      1.65e+00    7.83e-01      6.61e-03    3.36e-02      1.20e-01    5.57e-02    9.4e-05
1747100      1.96e+00    1.77e+00      3.14e-02    8.46e-02      1.41e-01    1.22e-01    9.4e-05
1747200      1.77e+00    1.09e+00      2.52e-02    2.73e-02      1.28e-01    7.63e-02    9.4e-05
1747300      7.87e+00    1.33e+00      9.39e-02    2.10e-02      5.71e-01    9.56e-02    9.4e-05
1747400      1.80e+00    1.56e+00      2.95e-03    5.38e-02      1.31e-01    1.11e-01    9.4e-05
1747500      2.15e+00    1.15e+00      8.53e-02    3.17e-02      1.51e-01    7.97e-02    9.4e-05
1747600      9.71e-01    9.39e-01      7.50e-02    2.00e-02      5.86e-02    6.69e-02    9.4e-05
1747700      1.13e+00    1.42e+00      1.32e-02    2.06e-02      8.14e-02    1.02e-01    9.4e-05
1747800      2.03e+00    3.16e+00      7.22e-03    2.47e-01      1.47e-01    2.21e-01    9.4e-05
1747900      1.62e+00    1.19e+00      3.81e-02    1.35e-02      1.16e-01    8.60e-02    9.4e-05
1748000      8.30e-01    1.28e+00      1.26e-01    1.39e-02      3.02e-02    9.27e-02    9.4e-05
1748100      1.81e+00    2.16e+00      4.65e-03    4.66e-02      1.31e-01    1.56e-01    9.4e-05
1748200      8.93e-01    1.25e+00      3.25e-02    5.17e-02      6.42e-02    8.82e-02    9.4e-05
1748300      1.12e+00    9.04e-01      1.44e-02    1.32e-02      8.08e-02    6.51e-02    9.4e-05
1748400      7.62e-01    1.14e+00      1.36e-02    1.55e-02      5.50e-02    8.22e-02    9.4e-05
1748500      6.25e-01    1.26e+00      3.09e-02    1.17e-02      4.37e-02    9.13e-02    9.4e-05
1748600      1.96e+00    1.19e+00      3.07e-02    2.87e-02      1.42e-01    8.46e-02    9.4e-05
1748700      8.51e-01    2.40e+00      5.60e-03    2.93e-02      6.17e-02    1.73e-01    9.4e-05
1748800      2.26e+00    1.56e+00      9.52e-03    2.24e-02      1.64e-01    1.12e-01    9.4e-05
1748900      1.27e+00    1.80e+00      1.83e-02    4.17e-02      9.18e-02    1.25e-01    9.4e-05
1749000      7.15e-01    1.41e+00      1.55e-02    1.51e-02      5.08e-02    1.02e-01    9.4e-05
1749100      2.01e+00    1.76e+00      1.70e-02    1.29e-02      1.46e-01    1.28e-01    9.4e-05
1749200      3.22e+00    1.53e+00      6.20e-02    2.47e-02      2.31e-01    1.10e-01    9.4e-05
1749300      2.10e+00    1.80e+00      1.86e-02    2.31e-02      1.52e-01    1.30e-01    9.4e-05
1749400      2.50e+00    1.31e+00      1.03e-03    1.32e-02      1.81e-01    9.47e-02    9.4e-05
1749500      1.79e+00    1.75e+00      1.11e-02    5.80e-03      1.30e-01    1.27e-01    9.4e-05
1749600      9.07e-01    1.36e+00      5.01e-04    4.63e-02      6.60e-02    9.66e-02    9.4e-05
1749700      1.17e+00    2.11e+00      2.50e-02    2.56e-02      8.27e-02    1.53e-01    9.4e-05
1749800      1.69e+00    9.82e-01      7.24e-02    1.02e-02      1.21e-01    7.12e-02    9.4e-05
1749900      2.05e+00    1.52e+00      3.21e-03    2.95e-02      1.49e-01    1.10e-01    9.4e-05
1750000      1.20e+00    1.02e+00      1.78e-02    1.75e-02      8.69e-02    7.21e-02    9.4e-05
1750100      2.31e+00    1.50e+00      7.58e-02    1.38e-02      1.64e-01    1.09e-01    9.4e-05
1750200      1.10e+00    3.19e+00      1.03e-02    7.28e-02      8.03e-02    2.28e-01    9.4e-05
1750300      2.07e+00    9.34e-01      2.16e-04    2.28e-02      1.51e-01    6.64e-02    9.4e-05
1750400      1.02e+00    1.65e+00      1.19e-02    3.63e-02      7.40e-02    1.18e-01    9.4e-05
1750500      2.42e+00    1.14e+00      4.97e-02    3.29e-02      1.76e-01    7.74e-02    9.4e-05
1750600      1.24e+00    1.99e+00      2.72e-02    5.43e-02      8.85e-02    1.42e-01    9.4e-05
1750700      2.80e+00    1.02e+00      3.26e-02    1.38e-02      2.03e-01    7.34e-02    9.4e-05
1750800      1.05e+00    1.39e+00      2.87e-02    2.21e-02      7.53e-02    1.00e-01    9.4e-05
1750900      1.06e+00    1.38e+00      4.34e-02    3.74e-02      7.60e-02    9.87e-02    9.4e-05
1751000      1.23e+00    1.94e+00      3.21e-02    4.69e-02      8.68e-02    1.41e-01    9.4e-05
1751100      7.74e-01    1.58e+00      4.33e-03    5.58e-02      5.63e-02    1.11e-01    9.4e-05
1751200      1.63e+00    2.00e+00      1.58e-02    2.90e-02      1.18e-01    1.45e-01    9.4e-05
1751300      1.25e+00    1.23e+00      7.91e-02    9.26e-03      8.71e-02    8.95e-02    9.4e-05
1751400      9.15e-01    1.21e+00      2.76e-02    1.67e-02      6.54e-02    8.75e-02    9.4e-05
1751500      2.07e+00    2.31e+00      7.25e-03    9.52e-03      1.51e-01    1.68e-01    9.4e-05
1751600      1.63e+00    1.20e+00      1.44e-02    1.10e-02      1.18e-01    8.75e-02    9.4e-05
1751700      8.46e-01    1.85e+00      9.99e-03    4.18e-02      6.11e-02    1.33e-01    9.4e-05
1751800      4.29e-01    1.57e+00      9.15e-03    2.90e-02      3.06e-02    1.13e-01    9.4e-05
1751900      1.23e+00    1.64e+00      1.14e-01    4.10e-03      8.01e-02    1.20e-01    9.4e-05
1752000      9.09e-01    1.39e+00      4.44e-05    4.93e-03      6.63e-02    1.01e-01    9.4e-05
1752100      2.72e+00    1.64e+00      6.89e-02    4.83e-02      1.93e-01    1.18e-01    9.4e-05
1752200      3.23e+00    1.80e+00      2.25e-02    3.53e-02      2.35e-01    1.28e-01    9.4e-05
1752300      2.44e+00    1.51e+00      1.16e-04    9.82e-03      1.78e-01    1.10e-01    9.4e-05
1752400      1.26e+00    1.37e+00      4.78e-02    3.20e-02      9.01e-02    9.85e-02    9.4e-05
1752500      4.21e-01    1.34e+00      1.58e-02    3.79e-02      2.87e-02    9.57e-02    9.4e-05
1752600      7.64e-01    2.22e+00      2.01e-03    6.59e-03      5.56e-02    1.62e-01    9.4e-05
1752700      5.40e-01    1.20e+00      3.05e-03    3.08e-02      3.93e-02    8.52e-02    9.4e-05
1752800      1.66e+00    9.27e-01      2.13e-02    1.25e-02      1.20e-01    6.69e-02    9.4e-05
1752900      1.48e+00    1.96e+00      2.76e-02    9.34e-02      1.07e-01    1.39e-01    9.4e-05
1753000      1.46e+00    1.94e+00      2.08e-02    2.26e-02      1.05e-01    1.41e-01    9.4e-05
1753100      1.07e+00    2.50e+00      1.88e-02    1.12e-01      7.71e-02    1.73e-01    9.4e-05
1753200      2.75e+00    1.00e+00      3.31e-02    1.16e-02      1.99e-01    7.28e-02    9.4e-05
1753300      3.64e+00    1.68e+00      4.02e-02    1.08e-02      2.64e-01    1.22e-01    9.4e-05
1753400      2.30e+00    1.61e+00      2.98e-02    2.08e-02      1.67e-01    1.17e-01    9.4e-05
1753500      1.97e+00    1.07e+00      1.72e-02    2.61e-02      1.43e-01    7.75e-02    9.4e-05
1753600      7.66e-01    1.62e+00      2.76e-02    4.96e-02      5.04e-02    1.17e-01    9.4e-05
1753700      1.35e+00    2.01e+00      1.95e-02    3.81e-02      9.81e-02    1.45e-01    9.4e-05
1753800      1.00e+00    3.13e+00      8.48e-03    8.17e-02      7.28e-02    2.22e-01    9.4e-05
1753900      1.20e+00    1.32e+00      2.55e-02    7.52e-03      8.59e-02    9.64e-02    9.4e-05
1754000      2.45e+00    2.12e+00      1.20e-02    4.15e-02      1.78e-01    1.52e-01    9.4e-05
1754100      2.46e+00    1.62e+00      3.57e-02    1.54e-02      1.79e-01    1.18e-01    9.4e-05
1754200      1.46e+00    1.12e+00      3.06e-02    3.19e-02      1.04e-01    7.74e-02    9.4e-05
1754300      5.77e-01    1.57e+00      1.64e-02    2.15e-02      4.03e-02    1.13e-01    9.4e-05
1754400      1.74e+00    1.02e+00      1.07e-02    6.20e-03      1.27e-01    7.44e-02    9.4e-05
1754500      9.13e-01    1.75e+00      1.44e-03    5.12e-02      6.65e-02    1.24e-01    9.4e-05
1754600      1.62e+00    1.96e+00      5.93e-03    1.02e-02      1.18e-01    1.43e-01    9.4e-05
1754700      1.24e+00    1.25e+00      7.03e-02    1.81e-02      8.61e-02    9.06e-02    9.4e-05
1754800      1.02e+00    2.68e+00      1.12e-02    5.20e-02      7.38e-02    1.93e-01    9.4e-05
1754900      1.04e+00    2.46e+00      5.66e-03    8.03e-02      7.55e-02    1.74e-01    9.4e-05
1755000      1.85e+00    1.32e+00      2.81e-02    1.14e-02      1.34e-01    9.61e-02    9.3e-05
1755100      9.69e-01    1.57e+00      4.01e-02    3.35e-02      6.96e-02    1.14e-01    9.3e-05
1755200      1.31e+00    2.43e+00      3.03e-03    4.84e-02      9.60e-02    1.77e-01    9.3e-05
1755300      1.94e+00    9.12e-01      6.00e-02    3.60e-02      1.40e-01    6.37e-02    9.3e-05
1755400      9.16e-01    1.89e+00      3.05e-02    4.10e-02      6.31e-02    1.37e-01    9.3e-05
1755500      1.94e+00    9.72e-01      4.36e-02    1.86e-02      1.40e-01    6.96e-02    9.3e-05
1755600      1.99e+00    2.07e+00      1.97e-02    4.46e-02      1.45e-01    1.49e-01    9.3e-05
1755700      1.13e+00    1.40e+00      1.96e-02    5.40e-02      8.11e-02    1.00e-01    9.3e-05
1755800      1.42e+00    1.22e+00      1.71e-02    2.04e-02      1.04e-01    8.80e-02    9.3e-05
1755900      2.12e+00    1.82e+00      2.99e-03    2.75e-02      1.55e-01    1.32e-01    9.3e-05
1756000      1.42e+00    1.28e+00      2.44e-02    1.65e-02      1.03e-01    9.22e-02    9.3e-05
1756100      1.63e+00    1.14e+00      7.35e-03    4.62e-02      1.19e-01    8.21e-02    9.3e-05
1756200      1.91e+00    1.54e+00      5.10e-02    2.16e-02      1.38e-01    1.11e-01    9.3e-05
1756300      1.90e+00    2.14e+00      2.11e-02    3.55e-02      1.38e-01    1.55e-01    9.3e-05
1756400      1.05e+00    1.17e+00      3.40e-02    1.74e-02      7.59e-02    8.48e-02    9.3e-05
1756500      1.64e+00    7.96e-01      3.93e-02    2.17e-02      1.18e-01    5.46e-02    9.3e-05
1756600      1.72e+00    1.42e+00      4.24e-02    2.73e-02      1.25e-01    1.03e-01    9.3e-05
1756700      1.98e+00    1.72e+00      6.69e-02    4.57e-02      1.41e-01    1.24e-01    9.3e-05
1756800      8.94e-01    1.73e+00      1.21e-02    9.59e-03      6.50e-02    1.26e-01    9.3e-05
1756900      1.21e+00    1.69e+00      1.89e-02    2.13e-02      8.65e-02    1.22e-01    9.3e-05
1757000      2.09e+00    1.83e+00      1.06e-01    5.30e-02      1.46e-01    1.30e-01    9.3e-05
1757100      9.90e-01    2.07e+00      5.92e-03    6.02e-02      7.22e-02    1.50e-01    9.3e-05
1757200      8.65e-01    1.31e+00      1.05e-02    1.55e-02      6.30e-02    9.57e-02    9.3e-05
1757300      1.99e+00    2.06e+00      1.96e-02    8.02e-02      1.45e-01    1.44e-01    9.3e-05
1757400      1.53e+00    1.69e+00      4.43e-02    1.37e-02      1.10e-01    1.23e-01    9.3e-05
1757500      1.02e+00    1.36e+00      4.08e-03    8.48e-03      7.46e-02    9.90e-02    9.3e-05
1757600      2.40e-01    1.08e+00      8.64e-03    1.97e-02      1.70e-02    7.65e-02    9.3e-05
1757700      2.26e+00    2.57e+00      3.80e-02    1.61e-01      1.65e-01    1.83e-01    9.3e-05
1757800      1.80e+00    1.37e+00      1.93e-02    1.73e-02      1.31e-01    9.99e-02    9.3e-05
1757900      8.33e-01    2.10e+00      1.42e-02    7.71e-02      6.04e-02    1.38e-01    9.3e-05
1758000      8.53e-01    1.98e+00      6.12e-02    3.45e-02      5.83e-02    1.42e-01    9.3e-05
1758100      1.23e+00    1.19e+00      9.45e-03    5.32e-03      8.95e-02    8.71e-02    9.3e-05
1758200      1.36e+00    7.96e-01      5.88e-03    6.60e-02      9.90e-02    5.35e-02    9.3e-05
1758300      8.74e-01    1.51e+00      2.42e-02    2.10e-02      6.28e-02    1.09e-01    9.3e-05
1758400      1.27e+00    1.98e+00      6.07e-04    5.90e-02      9.29e-02    1.41e-01    9.3e-05
1758500      1.15e+00    1.42e+00      6.03e-03    3.64e-02      8.43e-02    1.02e-01    9.3e-05
1758600      1.04e+00    1.52e+00      2.35e-02    2.73e-02      7.42e-02    1.09e-01    9.3e-05
1758700      1.67e+00    1.32e+00      2.67e-02    5.54e-02      1.21e-01    9.29e-02    9.3e-05
1758800      1.00e+00    1.44e+00      1.12e-02    8.95e-02      7.28e-02    1.02e-01    9.3e-05
1758900      1.89e+00    1.62e+00      8.17e-03    2.89e-02      1.38e-01    1.18e-01    9.3e-05
1759000      1.86e+00    1.27e+00      2.33e-02    2.30e-02      1.35e-01    9.19e-02    9.3e-05
1759100      2.22e+00    1.13e+00      5.65e-02    1.61e-02      1.59e-01    8.18e-02    9.3e-05
1759200      1.62e+00    1.32e+00      5.54e-02    3.97e-02      1.13e-01    9.47e-02    9.3e-05
1759300      1.18e+00    9.43e-01      1.02e-02    1.44e-02      8.62e-02    6.87e-02    9.3e-05
1759400      1.65e+00    2.14e+00      2.66e-02    2.11e-02      1.20e-01    1.57e-01    9.3e-05
1759500      2.36e+00    1.76e+00      5.15e-02    2.81e-02      1.70e-01    1.28e-01    9.3e-05
1759600      3.13e+00    1.27e+00      1.17e-02    7.18e-03      2.29e-01    9.25e-02    9.3e-05
1759700      9.83e-01    1.11e+00      6.38e-03    1.64e-02      7.17e-02    8.09e-02    9.3e-05
1759800      1.72e+00    2.18e+00      8.92e-02    1.12e-01      1.25e-01    1.51e-01    9.3e-05
1759900      1.64e+00    1.36e+00      1.85e-02    1.02e-02      1.19e-01    9.87e-02    9.3e-05
1760000      8.78e-01    1.91e+00      1.36e-03    3.08e-02      6.42e-02    1.39e-01    9.3e-05
1760100      1.57e+00    1.60e+00      1.66e-02    3.62e-02      1.15e-01    1.14e-01    9.3e-05
1760200      1.40e+00    8.02e-01      1.62e-02    1.64e-02      1.02e-01    5.65e-02    9.3e-05
1760300      1.21e+00    1.79e+00      6.55e-03    4.25e-02      8.87e-02    1.30e-01    9.3e-05
1760400      1.35e+00    1.23e+00      7.96e-03    1.44e-02      9.85e-02    8.95e-02    9.3e-05
1760500      2.17e+00    1.38e+00      7.17e-02    1.31e-02      1.53e-01    1.01e-01    9.3e-05
1760600      1.61e+00    1.54e+00      3.40e-02    1.79e-02      1.14e-01    1.12e-01    9.3e-05
1760700      2.49e+00    1.13e+00      2.23e-02    1.53e-02      1.82e-01    8.27e-02    9.3e-05
1760800      1.51e+00    3.54e+00      1.56e-02    5.15e-02      1.10e-01    2.57e-01    9.3e-05
1760900      2.25e+00    1.11e+00      9.87e-03    7.47e-03      1.65e-01    8.13e-02    9.3e-05
1761000      1.27e+00    8.72e-01      5.20e-02    8.67e-03      9.20e-02    6.34e-02    9.3e-05
1761100      1.01e+00    1.07e+00      1.33e-02    1.53e-02      7.35e-02    7.72e-02    9.3e-05
1761200      1.01e+00    2.11e+00      2.10e-02    2.39e-02      7.29e-02    1.54e-01    9.3e-05
1761300      2.22e+00    1.11e+00      4.38e-02    2.55e-02      1.61e-01    7.91e-02    9.3e-05
1761400      1.26e+00    3.06e+00      3.59e-02    3.02e-02      9.09e-02    2.23e-01    9.3e-05
1761500      6.96e-01    2.09e+00      2.56e-03    5.69e-02      5.10e-02    1.48e-01    9.3e-05
1761600      6.07e-01    1.14e+00      2.33e-02    3.78e-02      4.15e-02    8.16e-02    9.3e-05
1761700      1.65e+00    1.02e+00      1.71e-03    8.69e-03      1.20e-01    7.44e-02    9.3e-05
1761800      1.40e+00    1.03e+00      1.73e-02    1.71e-02      1.02e-01    7.48e-02    9.3e-05
1761900      1.21e+00    1.67e+00      3.98e-02    3.15e-02      8.64e-02    1.22e-01    9.3e-05
1762000      2.09e+00    1.80e+00      1.83e-02    9.93e-02      1.53e-01    1.22e-01    9.3e-05
1762100      2.73e+00    1.14e+00      2.10e-01    1.93e-02      1.66e-01    8.30e-02    9.3e-05
1762200      1.93e+00    1.45e+00      2.11e-02    2.32e-02      1.40e-01    1.06e-01    9.3e-05
1762300      1.78e+00    1.03e+00      4.80e-02    1.35e-02      1.29e-01    7.50e-02    9.3e-05
1762400      9.91e-01    1.70e+00      1.62e-02    2.82e-02      7.16e-02    1.24e-01    9.3e-05
1762500      1.65e+00    1.91e+00      2.26e-02    2.28e-02      1.20e-01    1.40e-01    9.3e-05
1762600      2.60e+00    2.33e+00      4.20e-02    6.63e-02      1.88e-01    1.66e-01    9.3e-05
1762700      1.86e+00    1.69e+00      1.95e-02    3.02e-02      1.36e-01    1.23e-01    9.3e-05
